timestep, accuracy, iterations
761, 0.737, 100000000
762, 0.718, 100000000
763, 0.737, 100000000
764, 0.714, 100000000
765, 0.72, 100000000
766, 0.71, 100000000
767, 0.728, 100000000
768, 0.749, 100000000
769, 0.734, 100000000
770, 0.732, 100000000
771, 0.731, 100000000
772, 0.732, 100000000
773, 0.717, 100000000
774, 0.748, 100000000
775, 0.72, 100000000
776, 0.726, 100000000
777, 0.732, 100000000
778, 0.717, 100000000
779, 0.741, 100000000
780, 0.725, 100000000
781, 0.728, 100000000
782, 0.738, 100000000
783, 0.705, 100000000
784, 0.723, 100000000
785, 0.737, 100000000
786, 0.725, 100000000
787, 0.724, 100000000
788, 0.725, 100000000
789, 0.72, 100000000
790, 0.736, 100000000
791, 0.727, 100000000
792, 0.712, 100000000
793, 0.767, 100000000
794, 0.7, 100000000
795, 0.715, 100000000
796, 0.716, 100000000
797, 0.723, 100000000
798, 0.73, 100000000
799, 0.737, 100000000
16:16:55.240617
