timestep, accuracy, iterations
681, 0.463, 10000000
682, 0.458, 10000000
683, 0.471, 10000000
684, 0.461, 10000000
685, 0.426, 10000000
686, 0.447, 10000000
687, 0.418, 10000000
688, 0.431, 10000000
689, 0.449, 10000000
690, 0.435, 10000000
691, 0.448, 10000000
692, 0.453, 10000000
693, 0.448, 10000000
694, 0.467, 10000000
695, 0.442, 10000000
696, 0.44, 10000000
697, 0.441, 10000000
698, 0.436, 10000000
699, 0.434, 10000000
700, 0.442, 100000000
701, 0.415, 100000000
702, 0.434, 100000000
703, 0.468, 100000000
704, 0.452, 100000000
705, 0.453, 100000000
706, 0.453, 100000000
707, 0.455, 100000000
708, 0.424, 100000000
709, 0.478, 100000000
710, 0.47, 100000000
711, 0.44, 100000000
712, 0.449, 100000000
713, 0.47, 100000000
714, 0.43, 100000000
715, 0.444, 100000000
716, 0.452, 100000000
717, 0.462, 100000000
718, 0.424, 100000000
719, 0.441, 100000000
720, 0.447, 100000000
721, 0.445, 100000000
722, 0.433, 100000000
723, 0.437, 100000000
724, 0.447, 100000000
725, 0.422, 100000000
726, 0.477, 100000000
727, 0.443, 100000000
728, 0.471, 100000000
729, 0.453, 100000000
730, 0.456, 100000000
731, 0.457, 100000000
732, 0.443, 100000000
733, 0.494, 100000000
734, 0.423, 100000000
735, 0.464, 100000000
736, 0.424, 100000000
737, 0.444, 100000000
738, 0.447, 100000000
739, 0.433, 100000000
740, 0.433, 100000000
741, 0.436, 100000000
742, 0.47, 100000000
743, 0.454, 100000000
744, 0.434, 100000000
745, 0.456, 100000000
746, 0.423, 100000000
747, 0.434, 100000000
748, 0.46, 100000000
749, 0.416, 100000000
750, 0.434, 100000000
751, 0.436, 100000000
752, 0.431, 100000000
753, 0.443, 100000000
754, 0.436, 100000000
755, 0.442, 100000000
756, 0.455, 100000000
757, 0.438, 100000000
758, 0.433, 100000000
759, 0.442, 100000000
760, 0.441, 100000000
761, 0.451, 100000000
762, 0.444, 100000000
763, 0.456, 100000000
764, 0.423, 100000000
765, 0.466, 100000000
766, 0.459, 100000000
767, 0.449, 100000000
768, 0.444, 100000000
769, 0.438, 100000000
770, 0.452, 100000000
771, 0.462, 100000000
772, 0.417, 100000000
773, 0.457, 100000000
774, 0.471, 100000000
775, 0.438, 100000000
776, 0.432, 100000000
777, 0.447, 100000000
778, 0.448, 100000000
779, 0.477, 100000000
780, 0.475, 100000000
781, 0.465, 100000000
782, 0.462, 100000000
783, 0.432, 100000000
784, 0.447, 100000000
785, 0.456, 100000000
786, 0.453, 100000000
