timestep, accuracy, iterations
661, 0.894, 10000000
662, 0.89, 10000000
663, 0.884, 10000000
664, 0.893, 10000000
665, 0.887, 10000000
666, 0.88, 10000000
667, 0.897, 10000000
668, 0.891, 10000000
669, 0.897, 10000000
670, 0.888, 10000000
671, 0.897, 10000000
672, 0.892, 10000000
673, 0.876, 10000000
674, 0.885, 10000000
675, 0.885, 10000000
676, 0.868, 10000000
677, 0.881, 10000000
678, 0.884, 10000000
679, 0.872, 10000000
680, 0.873, 10000000
681, 0.894, 10000000
682, 0.888, 10000000
683, 0.886, 10000000
684, 0.886, 10000000
685, 0.892, 10000000
686, 0.883, 10000000
687, 0.874, 10000000
688, 0.878, 10000000
689, 0.886, 10000000
690, 0.89, 10000000
691, 0.884, 10000000
692, 0.892, 10000000
693, 0.878, 10000000
694, 0.876, 10000000
695, 0.875, 10000000
696, 0.876, 10000000
697, 0.891, 10000000
698, 0.898, 10000000
699, 0.882, 10000000
700, 0.894, 100000000
701, 0.887, 100000000
702, 0.874, 100000000
703, 0.881, 100000000
704, 0.901, 100000000
705, 0.89, 100000000
706, 0.877, 100000000
707, 0.88, 100000000
708, 0.89, 100000000
709, 0.878, 100000000
710, 0.906, 100000000
711, 0.88, 100000000
712, 0.885, 100000000
713, 0.878, 100000000
714, 0.87, 100000000
715, 0.882, 100000000
716, 0.901, 100000000
717, 0.889, 100000000
718, 0.881, 100000000
719, 0.881, 100000000
720, 0.895, 100000000
721, 0.871, 100000000
722, 0.863, 100000000
723, 0.888, 100000000
724, 0.889, 100000000
725, 0.885, 100000000
726, 0.862, 100000000
727, 0.884, 100000000
728, 0.89, 100000000
729, 0.888, 100000000
730, 0.868, 100000000
731, 0.871, 100000000
732, 0.895, 100000000
733, 0.893, 100000000
734, 0.903, 100000000
735, 0.88, 100000000
736, 0.897, 100000000
737, 0.901, 100000000
738, 0.891, 100000000
739, 0.903, 100000000
740, 0.888, 100000000
741, 0.886, 100000000
742, 0.876, 100000000
743, 0.908, 100000000
744, 0.888, 100000000
745, 0.876, 100000000
746, 0.911, 100000000
747, 0.877, 100000000
748, 0.874, 100000000
749, 0.897, 100000000
750, 0.895, 100000000
751, 0.863, 100000000
752, 0.889, 100000000
753, 0.88, 100000000
754, 0.892, 100000000
755, 0.883, 100000000
756, 0.882, 100000000
757, 0.874, 100000000
758, 0.881, 100000000
759, 0.888, 100000000
760, 0.892, 100000000
761, 0.884, 100000000
762, 0.878, 100000000
763, 0.902, 100000000
764, 0.879, 100000000
765, 0.893, 100000000
766, 0.891, 100000000
767, 0.881, 100000000
768, 0.879, 100000000
769, 0.887, 100000000
770, 0.908, 100000000
771, 0.887, 100000000
772, 0.876, 100000000
773, 0.88, 100000000
774, 0.894, 100000000
775, 0.88, 100000000
776, 0.893, 100000000
777, 0.888, 100000000
778, 0.898, 100000000
779, 0.895, 100000000
780, 0.89, 100000000
781, 0.888, 100000000
782, 0.872, 100000000
783, 0.876, 100000000
784, 0.886, 100000000
785, 0.895, 100000000
786, 0.885, 100000000
787, 0.866, 100000000
788, 0.886, 100000000
789, 0.876, 100000000
790, 0.879, 100000000
791, 0.886, 100000000
792, 0.884, 100000000
793, 0.883, 100000000
794, 0.892, 100000000
795, 0.874, 100000000
796, 0.924, 100000000
797, 0.903, 100000000
798, 0.876, 100000000
799, 0.895, 100000000
00:33:13.620862
